vote,title
17409,Why is it faster to process a sorted array than an unsorted array?
13517,How to undo last commit(s) in Git?
9900,How to delete a Git branch both locally and remotely?
7707,What is the correct JSON content type?
7687,"How to modify existing, unpushed commits?"
7561,What is the difference between 'git pull' and 'git fetch'?
7307,How do JavaScript closures work?
6345,What is the “-->” operator in C++?
6261,How to redirect to another webpage in JavaScript/jQuery?
6165,What does the “yield” keyword do in Python?
5858,How to check whether a string contains a substring in JavaScript?
5843,What and where are the stack and heap?
5752,How to undo 'git add' before commit?
5480,"What does “use strict” do in JavaScript, and what is the reasoning behind it?"
5465,How do I check if an element is hidden in jQuery?
5171,Why does HTML think “chucknorris” is a color?
5000,Why is subtracting these two times (in 1927) giving a strange result?
4902,var functionName = function() {} vs function functionName() {}
4882,How do I rename a local Git branch?
4535,“Thinking in AngularJS” if I have a jQuery background? [closed]
4469,Which equals operator (== vs ===) should be used in JavaScript comparisons?
4429,The definitive guide to form-based website authentication [closed]
4412,How to revert Git repository to a previous commit?
4386,How to remove local (untracked) files from the current Git working tree?
4339,Can comments be used in JSON?
4261,The Definitive C++ Book Guide and List
4234,"What is the difference between “px”, “dp”, “dip” and “sp” on Android?"
4166,How to pass “Null” (a real surname!) to a SOAP web service in ActionScript 3?
4147,What is the difference between String and string in C#?
4107,Is Java “pass-by-reference” or “pass-by-value”?
4080,How to remove a particular element from an array in JavaScript?
3903,What is a plain English explanation of “Big O” notation?
3887,How to check out a remote Git branch?
3668,How do I remove a property from a JavaScript object?
3648,How do I force “git pull” to overwrite local files?
3556,What is the most efficient way to deep clone an object in JavaScript?
3553,How to disable text selection highlighting using CSS?
3530,What is a metaclass in Python?
3464,How to resolve merge conflicts in Git?
3456,PUT vs POST in REST
3382,What is the maximum length of a URL in different browsers?
3294,What is the difference between “INNER JOIN” and “OUTER JOIN”?
3269,How do I include a JavaScript file in another JavaScript file?
3199,How to check whether a checkbox is checked in jQuery?
3174,Getting the source directory of a Bash script from within
3145,"Which “href” value should I use for JavaScript links, “#” or “javascript:void(0)”?"
3102,How do I check whether a file exists using Python?
3095,How to pair socks from a pile efficiently?
3051,How to clone all remote branches in Git?
3039,Does Python have a ternary conditional operator?
